path,dialect_region,sentence,transcription_whisper,transcription_ipa,ipa_clean
072abc71-8626-48e0-a1ad-c0f95befeac4/8144f136e127fb3aac2a4793c608e960ac075409369b3ef72b86b329a97f9ed8.mp3,Basel,Das dürfte bei Büchner nicht der Fall sein.,Das dürfte bei Büchern noch nicht der Fall sein.,ˈɛs dˈɛf dˈi bˈɪl vˈɪçnən nˈɑ nˈɛtəfˌaʊsɪ,ɛs dɛf di bɪl vɪçnən nɑ nɛtəfaʊsɪ
0392680c-2fda-4d1e-8d45-407c5fc01dac/1f50f7476557eaa00908c697c7a270633ca04ec497bf04be513b104501fa7a4b.mp3,Basel,"Geschätzter Präsident, liebe Anwesenden.","Geschätzter Präsident, liebe Anwesende,",gəʃˈɛtstə pɾˌɛzɪdant lˈeːɾ bˈiː ˈɑːrvˌeːsəntˌiː,gəʃɛtstə pɾɛzɪdant leɾ bi ɑrvesənti
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/1f2660bcd4d62d6f06ef6ff4333aee0ae2f0eceeadf7df31aa2714928cdfb166.mp3,Basel,Verschiedenen Berichten konnte ein Mehrerfolg entnommen werden.,Von den verschiedenen Berichten konnte man mehr Erfolge entnehmen.,fɔdɪ fɛʃˈiːdən ɪn bɾˈɪçtɛ hˈɛt mˈɛn ɪn mˈɛrfˌɔlx ɛntɪnˈoː kˈɔnən,fɔdɪ fɛʃidən ɪn bɾɪçtɛ hɛt mɛn ɪn mɛrfɔlx ɛntɪno kɔnən
8800b4de-fa22-4fdc-9f29-457c4010fd57/61c235600b227bec4edb621b81a6a428689ced3fe8ca72577644295247a1b51d.mp3,Basel,Seine Umsetzung würde die Fraktion GLP interessieren.,Seine Umsetzung würde die Fraktion Gelb interessieren.,sin jonzˈɛtʃiːkwˈøːt dˈiːtfɔktsiːon kˈɛlpˈɛnˈtɾɛsˈiːrə,sin jonzɛtʃikwøt ditfɔktsion kɛlpɛntɾɛsirə
0392680c-2fda-4d1e-8d45-407c5fc01dac/420356fc6d11dde6a3fc85769280e0a9eca319e26ced859de76dadedc7d94abf.mp3,Basel,Und das Postulat ist unsere Antwort.,Und das Postulat ist unsere Antwort.,ˈʊnt dˈɑːs fˈoːʃtˈuːlɑːt ˈɪnʃt ʊntsriːˈɑːmˌtˈuːɾt,ʊnt dɑs foʃtulɑt ɪnʃt ʊntsriɑmtuɾt
fb1d2127-e914-470f-b684-57c697eacc1c/33b164767c75d00832bdb6d731ba342229ffb7167ba560794b66c354ea2702d3.mp3,Basel,Der Horizont bewegt sich quer auf mich zu.,Der Horizont bewegt sich quer auf mich zu.,dˈɛhɔrˈi tsʊˈan bəvˈɛkt zˈɛxt kˈɔø rˈuːf mˈɪçt tsʊːeː,dɛhɔri tsʊan bəvɛkt zɛxt kɔø ruf mɪçt tsʊe
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb/494cf8dde0821d341cf83231118634de6d6e50721c9e304402fb198be6aec276.mp3,Basel,Beistandschaften sind in der Regel nötig und sinnvoll.,Bistandschalte sind in der Regel nötig und sinnvoll.,bˈiː ʃlˈantʃɪlɪn ˈaɪnzəlf dˈeːsˌɪndə dˈeːrˌeːgəl nˈøːtɪç ʊnt sˈɪnfˌɔl,bi ʃlantʃɪlɪn aɪnzəlf desɪndə deregəl nøtɪç ʊnt sɪnfɔl
fb1d2127-e914-470f-b684-57c697eacc1c/7f06e1a0a24befea709abe20cdc1dacfd038b46595c0f09778a822deaa3de973.mp3,Basel,Eltern haben gegen die neue Schule ebenfalls Anzeige wegen Mobbing erstattet.,Eltern haben gegen die neue Schule ebenfalls Anzeige wegen Mobbing erstattet.,ˈɛltrɛ hændkɛktinˈɔi ʃul ɛbɛfɔːlz ɑːtsɛɪk vɛgɛmɑː bˈiːnɛ ʃtɑːptɪt,ɛltrɛ hændkɛktinɔi ʃul ɛbɛfɔlz ɑtsɛɪk vɛgɛmɑ binɛ ʃtɑptɪt
8f16829d-1a64-4145-927c-d6738a07ea24/fb00c7836d0cd98114bd301f7c135ece0070643cb0b2f5b2c8d84988025f503f.mp3,Basel,Sieht aus wie überall in Europa.,Seht aus wie überall in Europa.,seˈe dˈy syˈe ˈybʁa lˈœnɛʁo pa,see dy sye ybʁa lœnɛʁo pa
fb1d2127-e914-470f-b684-57c697eacc1c/76680b0ee51a8eb9475375ac5e073df123c0d6c9213685217a8860e572c038d3.mp3,Basel,Weil sie die Wut im Land unterschätzt haben.,weil sie die Worte im Land unterschätzt haben.,vˈiː zˈiːt vˈoːɾt dˈiːm lˈant ʊntɛʃˈɛtst hˈant,vi zit voɾt dim lant ʊntɛʃɛtst hant
